USER;TAILLE;TEMPS(ns)
552;560;1040
120;128;1000
1024;1040;960
5;16;1080
120;128;961
12;32;1160
776;784;1080
112;128;1120
952;960;1040
216;224;920
432;448;1080
104;112;960
88;96;1120
120;128;960
168;176;1080
104;112;1240
80;96;1160
192;208;1000
12;32;960
12;32;1080
12;32;1040
12;32;1120
12;32;1000
12;32;1000
12;32;1080
12;32;1000
12;32;960
12;32;1000
12;32;1040
12;32;1000
12;32;1000
34;48;1800
10;32;1280
56;64;1000
56;64;960
128;144;1120
19200;19216;10200
32;48;1040
2;16;1320
32816;32832;4960
11;32;1640
6;16;961
14;32;1000
9;32;1000
13;32;1480
4;16;1040
6;16;960
15;32;1040
14;32;1360
6;16;1080
14;32;960
7;16;960
16;32;1001
12;32;1000
14;32;1120
9;32;1000
10;32;1080
14;32;4520
9;32;1040
9;32;1000
17;32;1560
9;32;960
9;32;1001
12;32;1000
576;592;1640
