USER;TAILLE;TEMPS(ns)
2;16;1320
4;16;1040
5;16;1080
6;16;1080
6;16;960
6;16;961
7;16;960
9;32;1000
9;32;1000
9;32;1000
9;32;1001
9;32;1040
9;32;960
10;32;1080
10;32;1280
11;32;1640
12;32;1000
12;32;1000
12;32;1000
12;32;1000
12;32;1000
12;32;1000
12;32;1000
12;32;1000
12;32;1040
12;32;1040
12;32;1080
12;32;1080
12;32;1120
12;32;1160
12;32;960
12;32;960
13;32;1480
14;32;1000
14;32;1120
14;32;1360
14;32;4520
14;32;960
15;32;1040
16;32;1001
17;32;1560
32;48;1040
34;48;1800
56;64;1000
56;64;960
80;96;1160
88;96;1120
104;112;1240
104;112;960
112;128;1120
120;128;1000
120;128;960
120;128;961
128;144;1120
168;176;1080
192;208;1000
216;224;920
432;448;1080
552;560;1040
576;592;1640
776;784;1080
952;960;1040
1024;1040;960
19200;19216;10200
32816;32832;4960
