USER;TAILLE;TEMPS(ns)
552;560;920
120;128;1000
1024;1040;960
5;16;1000
120;128;1000
12;32;920
776;784;920
112;128;920
952;960;920
216;224;920
432;448;920
104;112;920
88;96;920
120;128;920
168;176;1000
104;112;920
80;96;920
192;208;960
12;32;920
12;32;960
12;32;960
12;32;920
12;32;920
12;32;920
12;32;960
12;32;920
12;32;920
12;32;920
12;32;920
12;32;1000
12;32;920
34;48;920
10;32;920
56;64;920
56;64;920
128;144;920
19200;19216;3560
32;48;960
2;16;960
32816;32832;3960
11;32;960
6;16;960
14;32;920
9;32;920
13;32;920
4;16;960
6;16;960
15;32;960
14;32;920
6;16;960
14;32;1000
7;16;960
16;32;920
12;32;960
14;32;960
9;32;960
10;32;920
14;32;3480
9;32;920
9;32;960
17;32;920
9;32;1000
12;32;960
552;560;920
